0,1,2,3,4,5,6,7
1.0,1.0,-0.3258305027674679,0.3923269391159297,0.15,0.0,0.0,1.0
0.0,0.0,0.0,1.040366972477064,2.4,0.0,0.0,3.0
1.0,2.0,0.0,-0.18411342785654722,-0.1,0.0,0.0,3.0
1.0,1.0,0.3704973295992912,0.693143136521814,0.0,1.5,0.0,1.0
-1.0,0.0,-0.07784812542236094,-0.33207673060884074,-0.3,0.5,0.0,1.0
-1.0,0.0,-0.45890326754774197,0.7344920767306086,0.5,1.0,0.0,1.0
-1.0,0.0,0.628853338098218,-0.7112326939115932,1.15,0.5,0.0,0.0
1.0,1.0,0.0,0.3769140950792325,0.65,0.0,0.0,3.0
0.0,0.0,-0.261952949668698,-2.3203336113427855,-1.05,-0.5,0.0,0.0
-1.0,0.0,0.0,-2.4128106755629695,-0.5,0.0,0.0,3.0
0.0,0.0,-0.3623976117870104,-0.32051709758131797,2.15,-0.5,0.0,0.0
-1.0,0.0,4.927082304216634,0.456048697297499,2.15,1.5,0.0,0.0
-1.0,0.0,-0.665900152442008,0.0,0.15,0.0,0.0,1.0
3.0,3.0,1.503585197420906,-2.1261317764804004,0.65,0.5,0.0,1.0
0.0,0.0,-0.5189131290611764,0.5393417591582726,-0.35,1.0,0.0,1.0
0.0,0.0,5.344073341529136,0.3615012510425352,0.65,0.5,0.0,1.0
1.0,1.0,2.626618887504301,-0.2087739783152632,0.9,1.0,0.0,0.0
0.0,0.0,2.4448468741231353,0.12260216847372789,0.15,1.0,0.0,0.0
0.0,0.0,-0.2935372156459007,0.04989375203974315,-0.45,1.0,0.0,1.0
0.0,0.0,0.12716782004465638,0.0,-0.3,-0.5,0.0,0.0
-1.0,0.0,1.8711429403614002,0.6450975813177646,2.4,0.0,0.0,0.0
0.0,0.0,-0.05446578978312512,0.0,-0.6,-0.5,0.0,1.0
0.0,0.0,-0.034420186429395996,-3.065929941618015,-0.35,-0.5,0.0,1.0
0.0,0.0,-0.4957164947113957,0.9565380986887977,-0.2,2.5,0.0,1.0
0.0,0.0,0.0,0.9568223519599663,-0.5,0.0,0.0,3.0
0.0,0.0,0.9788340529692792,0.44530859049207655,-0.35,1.0,0.0,1.0
0.0,0.0,0.23399608651043172,1.28627189324437,-0.7,0.0,0.0,1.0
2.0,2.0,0.0,-0.045397831526272,1.15,0.0,0.0,3.0
2.0,2.0,0.0,0.4737948290241867,0.4,0.0,1.0,3.0
0.0,0.0,-0.3784994819755295,-0.5917238724578174,0.65,-0.5,0.0,0.0
0.0,1.0,-0.41951320397193315,0.0,-0.1,0.5,0.0,1.0
3.0,3.0,-0.5753868545329794,1.4034626556613268,-0.9,1.0,0.0,0.0
0.0,0.0,-0.46500216239139636,-0.9424253544620518,0.65,0.5,0.0,1.0
0.0,0.0,6.5173970359945494,0.0,0.9,-0.5,0.0,1.0
2.0,2.0,-0.46867003381136374,0.4484296914095077,0.15,2.0,0.0,1.0
0.0,0.0,0.0,-1.1115262718932444,0.65,0.0,1.0,3.0
0.0,0.0,2.020718566177395,0.9915012510425352,0.4,1.0,0.0,1.0
1.0,1.0,-0.475166440046604,0.36505806120484996,-0.6,1.5,0.0,0.0
0.0,0.0,-0.3630829988932295,1.112877397831526,-0.05,2.5,0.0,1.0
0.0,0.0,0.0,-3.52253544620517,-0.8,0.0,0.0,3.0
2.0,2.0,-0.5031377462281813,-1.0857648040033363,-0.35,1.0,0.0,1.0
0.0,0.0,2.728607935540262,0.1158590492076729,-0.1,0.0,0.0,1.0
0.0,0.0,-0.49005219125979954,0.5806316858251439,0.9,0.0,0.0,1.0
-1.0,0.0,0.13194768608939003,-1.3241034195162633,0.65,1.5,0.0,0.0
1.0,1.0,6.217431854348872,0.0,2.4,0.5,0.0,1.0
0.0,0.0,1.6479596279421391,0.32787322768974125,3.4,1.5,0.0,1.0
1.0,1.0,-0.2516946085416713,-0.10088407005838212,0.15,-0.5,1.0,1.0
0.0,0.0,0.0,0.7314095079232692,-0.7,0.0,0.0,3.0
1.0,1.0,-0.5924611866110581,-0.9100583819849877,-0.6,0.0,1.0,0.0
1.0,1.0,4.907631819073429,0.0,1.2,0.5,0.0,1.0
-1.0,0.0,-0.4027400816500089,0.0,-0.1,0.0,0.0,1.0
-1.0,0.0,-0.6755880072782662,-12.751746455379482,-0.35,-0.5,0.0,1.0
